Web-based Java Programming – MCQ Review (with Answers)
1.	Q1. Which method in HttpServlet handles client POST requests?
The URL of the website begins with ssl: instead of http:
4.
The URL of the website begins with shttp:

Your Answer : 2
 
---

QuestionID  :  13545         Subject Name  Enterprise Java
Q32. isRequestedSessionIdFromCookie method checks whether the requested session id came in as cookie.

Your Answer : true ✔️

---

QuestionID  :  15292         Subject Name  Enterprise Java
Q33.
An object which implements the interfaces java.rmi.Remote and java.io.Serializable is being sent as a method parameter from one JVM to another. How would it be sent by RMI?
1.  RMI will serialize the object and send it.
2.  RMI will send the stub of the object. ✔️
3.  Either A or B Throws an exception.
4.  None

Your Answer : 2

---

QuestionID  :  15300         Subject Name  Enterprise Java
Q34. In the JMS, message producers and message consumers are created by which of the following objects?
1.  Connection Factories
2.  Message Listeners
3.  Connections
4.  Sessions ✔️

Your Answer : 4

---

QuestionID  :  15302         Subject Name  Enterprise Java
Q35. To author a Session bean which of the following classes are needed?

1.A Home interface, A Remote Interface, a class that implements Enterprisebean interface and a PrimaryKey class.
2.A Home interface, A Remote Interface and a class that implements the SessionBean interface. ✔️
3.A Remote Interface and a class that implements the SessionBean interface.
4.A Home interface, A Remote Interface and a class that implements the EnterpriseBean interface.

Your Answer :  2

---

QuestionID  :  15314         Subject Name  Enterprise Java
Q36. What will happen if a transactional client invokes an enterprise Bean method whose transaction attribute is set to `Never` within a transaction context ?
1. TransactionRequiredException is thrown to the client.
2. TransactionNotSupportedException is thrown to the client.
3. Transaction is suspended till the bean method is completed.
4.  RemoteException is thrown to the client. ✔️

Your Answer : 2
---

QuestionID  :  15651         Subject Name  Enterprise Java
Q37. Which of the following statement is false regarding the exceptions in JDBC
1.  SQLWarning objects are a subclass of SQLException that deal with database access warnings 
2. Warnings stop the execution of an application, as exceptions do; they simply alert the user that something did not happen as planned ✔️
3.  Connection object has a getWarning() method in it.
4.  Statement and ResultSet objects have getWarning() methods in it.

Your Answer : 2
---

QuestionID  :  15657         Subject Name  Enterprise Java
Q38. JDBC-ODBC Bridge does not work with Microsoft J++, because it does not support
1.  Java Native Interface ✔️
2.  JNDI
3.  JINI
4.  None of the above

Your Answer : 1
---

QuestionID  :  15659         Subject Name  Enterprise Java
Q39. We can retrieve a whole row of data at once, instead of calling an individual ResultSet.getXXX method for each column

Your Answer :  false ✔️

---

QuestionID  :  15661         Subject Name  Enterprise Java
Q40. The JDBC-ODBC bridge is multithreaded
TRUE ✔️
Your Answer : false 

---

QuestionID  :  15805         Subject Name  Enterprise Java
Q41. Which of the following files is the correct name and location of deployment descriptor of a web application. Assume that the web application is rooted at \doc-root. Select the one correct answer

```
 1.  \doc-root\dd.xml  
 2.  \doc-root\web.xml  
 3.  \doc-root\WEB-INF\web.xml   ✔️
 4.  \doc-root\WEB_INF\dd.xml  
```

Your Answer : 3

---

QuestionID  :  15819         Subject Name  Enterprise Java
Q42. Name the class that includes the getSession method that is used to get the HttpSession object
1.  HttpServletRequest ✔️
2.  HttpServletResponse 
3.  SessionContext
4.  SessionConfig

Your Answer : 1

---

QuestionID  :  15825         Subject Name  Enterprise Java
Q43. The EJB timer service is used for timing notifications. It can be used with
1.  CMP entity beans
2.  both BMP and CMP entity beans
3.  message-driven beans ✔️
4.  B and C

Your Answer :  4

---

QuestionID  :  15840         Subject Name  Enterprise Java
Q44. What does the EJB specification architecture define
1. Transactional components
2.  Distributed object components
3.  Server-side components
4. All of the above ✔️

Your Answer : 4

---

QuestionID  :  15862         Subject Name  Enterprise Java
Q45. How can I use JDBC to create a database?
1.  Include create=true at end of JDBC URL
2.  Execute "CREATE DATABASE jGuru" SQL statement
3.  Execute "STRSQL" and "CREATE COLLECTION jGuru" SQL statements
4.  Database creation is DBMS specific ✔️

Your Answer : 4

---

QuestionID  :  15870         Subject Name  Enterprise Java
Q46. When using a JavaBean to get all the parameters from a form, what must the property be set to (??? in the following code) for automatic initialization?

< jsp:useBean id="fBean" class="govi.FormBean" scope="request"/>
< jsp:setProperty name="fBean" property="???" />
< jsp:forward page="/servlet/JSP2Servlet" />
1.  * ✔️
2.  all
3.  @
4.  =

Your Answer : 1

---

QuestionID  :  15878         Subject Name  Enterprise Java
Q47. Which of the following statements makes your compiled JSP page implement the SingleThreadModel interface
1.  <%@ page isThreadSafe="false" %>
2.  <%@ page isThreadSafe="true" %> ✔️
3.  all of the above
4.  none of the above

Your Answer : 1

---

QuestionID  :  15915         Subject Name  Enterprise Java
Q48. Which page directive attribute allows you to take care of possible thread conflicts?
1.  session
2.  extends
3.  buffer
4.  IsThreadSafe ✔️

Your Answer : 4

---

QuestionID  :  15919         Subject Name  Enterprise Java
Q49. The servlet response object receives results generated by the servlet and sends them back to the client that made the request.

Your Answer : true ✔️

---

QuestionID  :  15960         Subject Name  Enterprise Java
Q50. In the Model View Controller architecture of an enterprise application, which of the following can be "best suited" as the Controller?
1.  Servlets
2.  Java Server Page
3.  Session Bean 
4.  Option 1 and Option 3 ✔️

Your Answer : 1









